video,question,starttime,endtime,formant1_mean,formant2_mean,formant3_mean,formant4_mean,formant5_mean,formant1_stddev,formant2_stddev,formant3_stddev,formant4_stddev,formant5_stddev
641,how are you at controlling your temper,307.383,321.123,606.639896605,1660.13970881,2601.54833382,3491.12764348,4393.44247821,217.775449701,350.296136651,383.606967735,376.575265994,316.882871922
641,what are you like when you don't sleep well,552.703,563.453,598.556337679,1509.94497725,2299.28928362,3053.87302488,3830.81888318,335.330186522,678.110570628,947.919065273,1219.32032299,1487.85220058
641,have you noticed any changes in your behavior or thoughts lately,510.683,536.803,559.771096269,1370.95791563,2139.18087934,2860.38873727,3604.9717187,335.383107454,724.853685761,1058.73289494,1373.38558093,1691.14062149
641,when was the last time you argued with someone and what was it about,321.123,337.603,494.692347444,1263.9595552,1979.89885689,2656.41953982,3381.82945015,321.129906937,760.040831583,1142.65355199,1497.48366451,1883.78157213
641,what's your dream job,261.093,270.213,508.755691964,1368.26290361,2186.6760486,2901.33961526,3606.18333555,301.135116238,726.914937462,1068.81871442,1381.75365006,1693.2641154
641,who's someone that's been a positive influence in your life,606.813,631.633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
641,how would your best friend describe you,631.633,644.863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
641,tell me about your relationship with your family,270.883,289.193,516.679438441,1299.69341485,2022.66946756,2695.93494669,3401.19261576,330.166999625,762.773224519,1132.36301244,1485.14624941,1846.69684382
641,tell me about something you did recently that you really enjoyed,644.863,658.833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
641,do you consider yourself more shy or outgoing,270.213,270.883,524.521987694,1627.94814823,2452.90857919,3374.71225955,4318.51119229,228.562677621,295.331383159,364.306512708,496.431291127,306.519711209
641,when was the last time you felt really happy,577.313,606.813,388.082364931,910.421945658,1416.66336963,1897.29089534,2352.78389147,388.498409802,910.389595146,1363.10263012,1797.11571385,2208.26372179
641,how easy is it for you to get a good night's sleep,536.803,552.703,557.918725634,1262.05705374,2019.7051681,2672.44849748,3336.91241233,389.716304509,796.174250007,1189.49609904,1544.381448,1893.55554114
641,sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,289.193,307.383,481.848733627,1277.89310835,2000.90013656,2691.84975391,3384.11945232,325.632138982,771.35296087,1143.69646092,1498.4635889,1860.41602256
641,what's one of your most memorable experiences,224.603,238.913,491.126245383,1224.70100997,1949.2729461,2591.31119564,3294.34027078,338.286081466,784.743154166,1174.15825461,1534.48815695,1919.77163637
707,who's someone that's been a positive influence in your life,728.347,772.307,570.170285178,1407.50891871,2213.19551151,2957.95989733,3719.63580578,339.934730225,716.169868118,989.423756391,1277.03752138,1562.33084059
707,how would your best friend describe you,772.307,785.957,556.194424328,1483.51023431,2453.86804123,3377.53964348,4275.19079457,233.605078626,404.592490332,389.035199746,400.062917406,378.716034808
707,sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,220.847,236.797,492.619501962,1263.86476981,1970.14479088,2627.06631717,3310.96718998,342.447829493,803.72407727,1162.4606143,1517.35185476,1874.83067939
707,tell me about something you did recently that you really enjoyed,785.957,808.487,428.166931929,1066.69498132,1636.09345229,2164.10516259,2693.0739311,385.59082816,910.750840934,1314.40838927,1711.6524036,2114.61259092
707,have you noticed any changes in your behavior or thoughts lately,487.837,503.827,474.129847508,1155.9112598,1812.41401793,2424.04428554,3059.8337662,392.514618419,874.754757495,1259.81319119,1639.3536397,2027.61603115
707,what's your dream job,189.317,199.397,459.09912301,1192.1068105,1871.51949959,2509.97760767,3168.40997062,337.939026021,801.052212179,1186.25587576,1555.67891606,1938.32344907
707,when was the last time you argued with someone and what was it about,247.177,274.727,503.48740841,1271.76798025,1976.98835371,2617.24963509,3289.49094165,344.90296112,816.637407443,1171.85618811,1515.80287099,1868.11147336
707,how easy is it for you to get a good night's sleep,503.827,518.777,584.630327749,1442.47526413,2283.85294623,3105.0698522,3948.0397133,338.434689574,626.25375049,847.914774272,1084.63065711,1317.95423162
707,when was the last time you felt really happy,708.817,728.347,543.97131893,1435.13258093,2315.37361312,3140.43375932,3952.95643062,323.713332166,649.204321985,854.330641199,1076.01770331,1287.0438995
707,tell me about your relationship with your family,213.507,220.847,541.628980042,1500.05848056,2432.80393281,3332.2783091,4276.40982423,267.613744343,400.53553804,416.929291254,443.802624851,397.602801244
707,what's one of your most memorable experiences,143.527,154.557,538.178383453,1322.11338832,2106.38272487,2821.99631039,3512.36659397,351.323166038,759.560447706,1104.8767842,1437.92101948,1758.66461694
707,what are you like when you don't sleep well,518.777,533.347,576.396066697,1433.35520844,2318.75066599,3143.47394224,3969.88351096,310.337150196,587.063953749,795.34714135,998.348581435,1199.98734862
707,how are you at controlling your temper,236.797,247.177,720.459909278,1624.08887788,2576.73209899,3463.96556236,4363.82276584,278.582767155,417.182282852,415.273787097,443.806871487,368.264556123
707,do you consider yourself more shy or outgoing,199.397,213.507,471.235160408,1223.455012,1978.94888903,2653.61764706,3387.61911418,311.987390527,739.16734653,1105.6633765,1444.58849638,1812.03384348
